Probability,Text,Category,Citation,Fun Fact
5,"Water that goes down sinks, showers and toilets flows to Oberlin’s Wastewater Treatment Plant where it is treated to remove organic matter, plant nutrients, and pathogens.  The cleaned water is then released into Plum Creek.",water,,
10,Greywater is waste water from a household source other than the toilet.  Greywater can be cleaned and reused for other processes like watering gardens or flushing toilets.  ,water,,
5,The water coming out of Oberlin's waste water treatment plant is often cleaner than the water already in the Plum Creek.,water,Jerry,
10,Wetlands are nature's way of processing dirty water.  The microorganisms living in wetland conditions have the capacity to rid water entering a wetland of harmful chemicals and organic matter.  ,water,,
5,The Living Machine located in the Adam J. Lewis Center on Elm St. is an example of a waste water treatment system that mimics wetland properties.,water,,
10,Oberlin's water is treated at the Freshwater Treatment Plant in a process that uses lime [to remove organic matter?].  The excess lime sludge is used by local farmers to fertilize their fields.,water,,
,,,,
10,"Ecological footprint is a measure of humanity's demand on nature.  It measures how much land and water an individual, family, community, or nation requires to produce the resources it consumes and to absorb its wastes.  ",water,Rumi,
5,"Wetlands are areas that contain wet, spongy soil and are often covered with water.  Very specific plants and animals like to live in these types of wetland conditions.  90% of Ohio used to be covered by wetlands.",water,,
10,Oberlin's Wastewater Treatment Plant can treat up to 3 million gallons per day--one week of wastewater would fill 13-acre Tappan Square with almost 5 feet of water!,water,,
,,,,
,,,,
,,,,
,,,,
,,,,
10,Turbidity is a measure of water clarity.  Soil eroding from fields and other particles in the water increase turbidity and can be unhealthy for stream life.,stream,,
5,Fish and other aquatic animals and microbes need disssolved oxygen in the water so that they can breath.  Dissolved oxygen levels below 4 mg/L are unhealthy for stream life.,stream,,
10,"Across the continental U.S. there are 2,110 watersheds.  Oberlin is situated within the Black River watershed.",stream,http://www.greenlakeassociation.com/gla/watershed.html,
5,Hydroelectric power is produced using the natural movement of water.  Dams built across rivers channel water through turbines built into the dam wall. These turbines generate electricity.,stream,,
10,"Water flow and quality in the Plum Creek is measured immediately upstream from the wastewater treatment plant and is determined by rainfall, land use, and other activities like agriculture.",stream,,
5,"A watershed is an area of land that drains all water to a common body, either a lake or a stream.  Oberlin is situated on the Black River Watershed which drains 467 square miles.  The Black River empties into Lake Erie at the Port of Lorain.",stream,http://www.epa.gov/glnpo/aoc/blackriver.html,
10,Lake Erie holds a volume of 119 cubic miles of water.  That's 129 trillions gallons--enough to provide freshwater for all businesses and residents of the United States for 315 days.,stream,,
5,"A bioregion is the area that makes up a natural ecological community.  A bioregion includes all of the plants, humans, flowers, animals, insects, trees and weather of that particular area.  ",stream,,
,,,,
5,"pH is a measure of acidity.  Pure water has a pH of 7.  Natural waters in NE Ohio with a pH below XX are considered too acidic, while those with a pH above XX are considered to basic [or not acidic enough].  ",stream,find later,
,,,,
,,,,
,,,,
,,,,
10,"Weather in the Oberlin area is influenced by our temperate latitude but also by the proximity of Lake Erie, which moderates temperature and adds moisture to the atmosphere.",weather,,
5,"The Earth is tilted 23 degrees from being perpendicular to its orbit.  This is what causes the different seasons and prevailing weather pattern to exist.  As the Earth rotates around the sun in space, the tilted axis stays the same.  ",weather,,
10,The record low temperature in Oberlin was XX degrees on date 19XX.,weather,,
5,The record high temperature in Oberlin was XX degrees on date 19XX.,weather,,
10,The record for snow fall in Oberlin was XX inches in XX hours.,weather,,
5,"Weather is what conditions of the atmosphere are over a short period of time, and climate is how the atmosphere ""behaves"" over relatively long periods of time.",weather,http://www.nasa.gov/mission_pages/noaa-n/climate/climate_weather.html,
10,"Clouds can trap heat radiating from the Earth's surface which can actually increase the local ground temperature.  Clear, cloudless nights typically make for cooler conditions.",weather,http://science.nasa.gov/science-news/science-at-nasa/2002/22apr_ceres/,
5,"Oberlin, Ohio annually averages about 36 inches of precipitation.  That includes rain, sleet, snow, and hail.",weather,http://www.usclimatedata.com/climate.php?location=USOH0722,
10,"Weather is the prevailing conditions of the atmosphere over a short period of time, and climate is how the atmosphere ""behaves"" over relatively longer periods of time.",weather,,
